"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue";Label_Rate
01/01/2025;01/01/2025;"YouTube Official Content";Bangladesh;"RoyalMotion IT";Tritio;Anurukti;Anurukti;3617668138852;DG-A0T-24-45602;RMITTI01;"Music Release";Stream;148;EUR;0.003886828512;80.00
01/01/2025;01/01/2025;"YouTube UGC";Bangladesh;"RoyalMotion IT";"Purnoy Hoq";"Pera Nai Chill 2";"Pera Nai Chill 2";3617668323364;QZ-TAS-24-88692;RMITPQ01;"Music Release";Stream;413;EUR;0.002910365719;80.00
01/01/2025;01/12/2024;"Facebook / Instagram";"United States";"RoyalMotion IT";Dorshon;"Mrittu Chithi";"Mrittu Chithi";3617666802847;DG-A0S-24-21038;RMITDS01;"Music Release";Stream;1;EUR;0.000013511552;80.00
01/01/2025;01/01/2025;"YouTube UGC";Bangladesh;"RoyalMotion IT";Dorshon;Jontrona;Jontrona;3617667140993;DG-A0S-24-49593;RMITDS02;"Music Release";Stream;8;EUR;0.004623886520;80.00
01/01/2025;01/01/2025;"Apple Music";"United Kingdom";"RoyalMotion IT";"Arif Chowdhury Prince";"Tomay Vebe Vebe";"Tomay Vebe Vebe";7316470349895;HK-K97-22-02083;RMITACP01;"Music Release";Stream;1;EUR;0.005037717019;80.00
01/01/2025;01/12/2024;"Facebook / Instagram";Nepal;"RoyalMotion IT";Dorshon;Jontrona;Jontrona;3617667140993;DG-A0S-24-49593;RMITDS02;"Music Release";Stream;2;EUR;0.000027023104;80.00
01/01/2025;01/12/2024;"Facebook / Instagram";"Saudi Arabia";"RoyalMotion IT";Dorshon;"Mrittu Chithi";"Mrittu Chithi";3617666802847;DG-A0S-24-21038;RMITDS01;"Music Release";Stream;7;EUR;0.000094580864;80.00
01/01/2025;01/01/2025;"YouTube UGC";Oman;"RoyalMotion IT";Tritio;Anurukti;Anurukti;3617668138852;DG-A0T-24-45602;RMITTI01;"Music Release";Stream;3;EUR;0.000248459435;80.00
01/01/2025;01/12/2024;"Facebook / Instagram";India;"RoyalMotion IT";"Band Chandrarango";"Tomar Kolpona";"Tomar Kolpona তোমার কল্পনা";3617666130186;DG-A0R-24-49372;;"Music Release";Stream;3;EUR;0.000040534656;80.00
01/01/2025;01/01/2025;"YouTube UGC";Singapore;"RoyalMotion IT";Tritio;Anurukti;Anurukti;3617668138852;DG-A0T-24-45602;RMITTI01;"Music Release";Stream;3;EUR;0.006621140966;80.00
01/01/2025;01/11/2024;"Facebook / Instagram";Bangladesh;"RoyalMotion IT";Dorshon;"Mrittu Chithi";"Mrittu Chithi";3617666802847;DG-A0S-24-21038;RMITDS01;"Music Release";Creation;12;EUR;0.000258830627;80.00
01/01/2025;01/01/2025;"YouTube UGC";India;"RoyalMotion IT";"Ranjan Chowdhury, Subhamita Banerjee";"Mon jarai kathai kathai";"Mon jarai kathai kathai";3617666955628;DG-A0S-24-33927;RMITRC08;"Music Release";Stream;2;EUR;0.000166346622;80.00
01/01/2025;01/01/2025;"YouTube Official Content";India;"RoyalMotion IT";"Ranjan Chowdhury";"Tumi Chao Bole";"Tumi Chao Bole";3617668545735;FR-10S-25-17315;RMITRC09;"Music Release";Stream;12;EUR;0.002212410076;80.00
01/01/2025;01/01/2025;"YouTube Official Content";"Korea, Republic Of";"RoyalMotion IT";"Ranjan Chowdhury";"O Chokhe Dekhechi";"O Chokhe Dekhechi";3617668678709;FR-10S-25-27117;RMITRC13;"Music Release";Stream;1;EUR;0.000120578576;80.00
01/01/2025;01/12/2024;"Tencent QQ/CN";"China Mainland";"RoyalMotion IT";"Band Chandrarango";"Tomar Kolpona";"Tomar Kolpona তোমার কল্পনা";3617666130186;DG-A0R-24-49372;;"Music Release";Stream;1;EUR;0.000063859503;80.00
01/01/2025;01/01/2025;"YouTube Official Content";India;"RoyalMotion IT";"Rajib Bhattacharjee";"Nodi Tumi Apon Mone";"Nodi Tumi Apon Mone";3617668678907;FR-10S-25-27145;RMITRB02;"Music Release";Stream;7;EUR;0.000433001288;80.00
01/01/2025;01/01/2025;"YouTube UGC";Malaysia;"RoyalMotion IT";Tritio;Anurukti;Anurukti;3617668138852;DG-A0T-24-45602;RMITTI01;"Music Release";Stream;4;EUR;0.000283607356;80.00
01/01/2025;01/12/2024;"Facebook / Instagram";"Viet Nam";"RoyalMotion IT";Dorshon;"Mrittu Chithi";"Mrittu Chithi";3617666802847;DG-A0S-24-21038;RMITDS01;"Music Release";Stream;1;EUR;0.000013511552;80.00
01/01/2025;01/01/2025;"YouTube Official Content";Bangladesh;"RoyalMotion IT";"Ranjan Chowdhury";"Tumi Chao Bole";"Tumi Chao Bole";3617668545735;FR-10S-25-17315;RMITRC09;"Music Release";Stream;104;EUR;0.005270989788;80.00
01/01/2025;01/12/2024;"Facebook / Instagram";Pakistan;"RoyalMotion IT";Dorshon;Jontrona;Jontrona;3617667140993;DG-A0S-24-49593;RMITDS02;"Music Release";Stream;1;EUR;0.000013511552;80.00
01/01/2025;01/01/2025;"YouTube Official Content";Canada;"RoyalMotion IT";Tritio;Anurukti;Anurukti;3617668138852;DG-A0T-24-45602;RMITTI01;"Music Release";Stream;1;EUR;0.003674942306;80.00
01/01/2025;01/01/2025;"YouTube UGC";Malaysia;"RoyalMotion IT";"Band Chandrarango";"Tomar Kolpona";"Tomar Kolpona তোমার কল্পনা";3617666130186;DG-A0R-24-49372;;"Music Release";Stream;7;EUR;0.001739519050;80.00
01/01/2025;01/01/2025;"YouTube UGC";India;"RoyalMotion IT";"Band Chandrarango";"Tomar Kolpona";"Tomar Kolpona তোমার কল্পনা";3617666130186;DG-A0R-24-49372;;"Music Release";Stream;5;EUR;0.001634811820;80.00
01/01/2025;01/12/2024;"Facebook / Instagram";Singapore;"RoyalMotion IT";Dorshon;Jontrona;Jontrona;3617667140993;DG-A0S-24-49593;RMITDS02;"Music Release";Stream;4;EUR;0.000054046208;80.00
01/01/2025;01/01/2025;"YouTube Official Content";Switzerland;"RoyalMotion IT";"Ranjan Chowdhury";"O Chokhe Dekhechi";"O Chokhe Dekhechi";3617668678709;FR-10S-25-27117;RMITRC13;"Music Release";Stream;1;EUR;0.004693974442;80.00
01/01/2025;01/12/2024;"Facebook / Instagram";"United Kingdom";"RoyalMotion IT";"Band Chandrarango";"Tomar Kolpona";"Tomar Kolpona তোমার কল্পনা";3617666130186;DG-A0R-24-49372;;"Music Release";Stream;1;EUR;0.000013511552;80.00
01/01/2025;01/01/2025;"YouTube UGC";Bangladesh;"RoyalMotion IT";Dorshon;Shomoy;Shomoy;5063585887249;GX-5MY-24-59870;RMITDS03;"Music Release";Stream;96;EUR;0.009259199325;80.00
01/01/2025;01/01/2025;"YouTube UGC";Italy;"RoyalMotion IT";"Band Chandrarango";"Tomar Kolpona";"Tomar Kolpona তোমার কল্পনা";3617666130186;DG-A0R-24-49372;;"Music Release";Stream;2;EUR;0.001163517358;80.00
01/01/2025;01/12/2024;"Facebook / Instagram";India;"RoyalMotion IT";Dorshon;"Mrittu Chithi";"Mrittu Chithi";3617666802847;DG-A0S-24-21038;RMITDS01;"Music Release";Stream;4;EUR;0.000054046208;80.00
01/01/2025;01/01/2025;"YouTube UGC";"United Kingdom";"RoyalMotion IT";"Rajib Bhattacharjee";"Nodi Tumi Apon Mone";"Nodi Tumi Apon Mone";3617668678907;FR-10S-25-27145;RMITRB02;"Music Release";Stream;1;EUR;0.013566210800;80.00
01/01/2025;01/12/2024;"Facebook / Instagram";Japan;"RoyalMotion IT";Dorshon;Jontrona;Jontrona;3617667140993;DG-A0S-24-49593;RMITDS02;"Music Release";Stream;4;EUR;0.000054046208;80.00
01/01/2025;01/01/2025;"YouTube UGC";"United Kingdom";"RoyalMotion IT";"Purnoy Hoq";"Pera Nai Chill 2";"Pera Nai Chill 2";3617668323364;QZ-TAS-24-88692;RMITPQ01;"Music Release";Stream;1;EUR;0.000157862642;80.00
01/01/2025;01/12/2024;"Amazon Music Streaming";"United States";"RoyalMotion IT";Dorshon;Shomoy;Shomoy;5063585887249;GX-5MY-24-59870;RMITDS03;"Music Release";Stream;1;EUR;0.001589447819;80.00
