"Reporting Month;""Sales Month"";Platform;Country/Region;""Label Name"";""Artist Name"";""Release title"";""Track title"";UPC;ISRC;""Release Catalog nb"";""Release Type"";""Sales Type"";Quantity;""Client Payment Currency"";""Net Revenue"";Label_Rate",
"01/11/2025;01/11/2025;""YouTube Official Content"";Romania;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Local Premer Gaan"";3618023588022;QZ-MER-22-66885;RMITAHS027;""Music Release"";Stream;1;EUR;0.000087197232;90.00",
"01/11/2025;01/10/2025;""Facebook / Instagram"";Qatar;""RoyalMotion IT"";""Arif Chowdhury Prince"";""Tomay Vebe Vebe"";""Tomay Vebe Vebe"";7316470349895;HK-K97-22-02083;RMITACP01;""Music Release"";Stream;1;EUR;0.000029346912;90.00",
"01/11/2025;01/10/2025;Yandex;""Russian Federation"";""RoyalMotion IT"";Tritio;Anurukti;Anurukti;3617668138852;DG-A0T-24-45602;RMITTI01;""Music Release"";Stream;1;EUR;0.000256806381;90.00",
"01/11/2025;01/10/2025;""Facebook / Instagram"";Canada;""RoyalMotion IT"";""Arif Chowdhury Prince"";""Tomay Vebe Vebe"";""Tomay Vebe Vebe"";7316470349895;HK-K97-22-02083;RMITACP01;""Music Release"";Stream;1;EUR;0.000040302072;90.00",
"01/11/2025;01/10/2025;""Facebook / Instagram"";""Saudi Arabia"";""RoyalMotion IT"";Dorshon;Jontrona;Jontrona;3617667140993;DG-A0S-24-49593;RMITDS02;""Music Release"";Stream;2;EUR;0.000051976800;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";Finland;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Local Premer Gaan"";3618023588022;QZ-MER-22-66885;RMITAHS027;""Music Release"";Stream;1;EUR;0.002918479560;90.00",
"01/11/2025;01/11/2025;""Apple Music"";""United States"";""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Shohorer Gaan"";3618023588022;QZ-MER-22-66883;RMITAHS027;""Music Release"";Stream;1;EUR;0.004951853651;90.00",
"01/11/2025;01/10/2025;""Facebook / Instagram"";Bangladesh;""RoyalMotion IT"";""Band Chandrarango"";""Tomar Kolpona"";""Tomar Kolpona তোমার কল্পনা"";3617666130186;DG-A0R-24-49372;;""Music Release"";Stream;133;EUR;0.000521125920;90.00",
"01/11/2025;01/11/2025;""YouTube UGC"";Bangladesh;""RoyalMotion IT"";""Band Chandrarango"";""Tomar Kolpona"";""Tomar Kolpona তোমার কল্পনা"";3617666130186;DG-A0R-24-49372;;""Music Release"";Stream;327;EUR;0.017249249459;90.00",
"01/11/2025;01/10/2025;""Facebook / Instagram"";India;""RoyalMotion IT"";""Rajib Bhattacharjee"";""Ami Abar Shobuj Hobo"";""Ami Abar Shobuj Hobo"";3617669919528;FR-2X4-25-12222;RMITRB06;""Music Release"";Stream;1;EUR;0.000009435816;90.00",
"01/11/2025;01/11/2025;""YouTube UGC"";""United States"";""RoyalMotion IT"";""Rajib Bhattacharjee"";""Nodi Tumi Apon Mone"";""Nodi Tumi Apon Mone"";3617668678907;FR-10S-25-27145;RMITRB02;""Music Release"";Stream;1;EUR;0.000684205169;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";Poland;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Local Premer Gaan"";3618023588022;QZ-MER-22-66885;RMITAHS027;""Music Release"";Stream;1;EUR;0.001185177080;90.00",
"01/11/2025;01/11/2025;""YouTube UGC"";Malaysia;""RoyalMotion IT"";""Band Chandrarango"";""Tomar Kolpona"";""Tomar Kolpona তোমার কল্পনা"";3617666130186;DG-A0R-24-49372;;""Music Release"";Stream;7;EUR;0.001863932422;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";India;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Ek Din Ek Raat"";3618023588022;QZ-MER-22-66884;RMITAHS027;""Music Release"";Stream;11;EUR;0.005032803049;90.00",
"01/11/2025;01/11/2025;""Apple Music"";""United Kingdom"";""RoyalMotion IT"";""Max Mazed"";""Echoes For the Sleepless"";""Chasing Dreams"";3618023107933;QZ-NWY-21-45920;RMITMAX02;""Music Release"";Stream;1;EUR;0.007016422839;90.00",
"01/11/2025;01/09/2025;""Facebook / Instagram"";Bangladesh;""RoyalMotion IT"";""Purnoy Hoq"";""Pera Nai Chill 2"";""Pera Nai Chill 2"";3617668323364;QZ-TAS-24-88692;RMITPQ01;""Music Release"";Creation;6;EUR;0.000258869716;90.00",
"01/11/2025;01/10/2025;""Facebook / Instagram"";""United Arab Emirates"";""RoyalMotion IT"";""Purnoy Hoq"";""Pera Nai Chill 2"";""Pera Nai Chill 2"";3617668323364;QZ-TAS-24-88692;RMITPQ01;""Music Release"";Stream;1;EUR;0.000047498832;90.00",
"01/11/2025;01/10/2025;""Facebook / Instagram"";India;""RoyalMotion IT"";""Purnoy Hoq"";""Pera Nai Chill 2"";""Pera Nai Chill 2"";3617668323364;QZ-TAS-24-88692;RMITPQ01;""Music Release"";Stream;11;EUR;0.000103793976;90.00",
"01/11/2025;01/09/2025;""Facebook / Instagram"";Bangladesh;""RoyalMotion IT"";Tritio;Anurukti;Anurukti;3617668138852;DG-A0T-24-45602;RMITTI01;""Music Release"";Creation;12;EUR;0.000517739432;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";Bangladesh;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""E Hridoy"";3618023588022;QZ-MER-22-66881;RMITAHS027;""Music Release"";Stream;282;EUR;0.022927734024;90.00",
"01/11/2025;01/09/2025;""Facebook / Instagram"";India;""RoyalMotion IT"";""Rajib Bhattacharjee"";""Bristi Namar Aage"";""Bristi Namar Aage"";3617668990641;FR-10S-25-50215;RMITRB04;""Music Release"";Creation;5;EUR;0.000209854670;90.00",
"01/11/2025;01/10/2025;""Facebook / Instagram"";""United Kingdom"";""RoyalMotion IT"";""Max Mazed"";Prithibi;JUPITER;3618023107919;QZ-RP5-25-86529;RMITMAX01;""Music Release"";Stream;2;EUR;0.000095797296;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";""United Kingdom"";""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""Ek Din Ek Raat"";3618023588022;QZ-MER-22-66884;RMITAHS027;""Music Release"";Stream;1;EUR;0.006491886110;90.00",
"01/11/2025;01/10/2025;""Facebook / Instagram"";Bangladesh;""RoyalMotion IT"";""Max Mazed"";Prithibi;JUPITER;3618023107919;QZ-RP5-25-86529;RMITMAX01;""Music Release"";Stream;1;EUR;0.000003918240;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";Croatia;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""E Hridoy 2"";3618023588022;QZ-MER-22-66882;RMITAHS027;""Music Release"";Stream;1;EUR;0.001798763482;90.00",
"01/11/2025;01/09/2025;""Facebook / Instagram"";India;""RoyalMotion IT"";Dorshon;Shomoy;Shomoy;5063585887249;GX-5MY-24-59870;RMITDS03;""Music Release"";Creation;6;EUR;0.000251825603;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";Portugal;""RoyalMotion IT"";""Ahmed Hasan Sunny"";Muktanchol;""E Hridoy"";3618023588022;QZ-MER-22-66881;RMITAHS027;""Music Release"";Stream;1;EUR;0.001839476896;90.00",
"01/11/2025;01/11/2025;""YouTube Official Content"";""United States"";""RoyalMotion IT"";""Rajib Bhattacharjee"";""Amari Mon"";""Amari Mon"";3617668990658;FR-10S-25-50218;RMITRB05;""Music Release"";Stream;1;EUR;0.001240316505;90.00",
